orderId,date,status
249526171,"2023-07-04 02:45:51","cancelled"
248215511,"2023-07-04 02:46:35","cancelled"
248335761,"2023-07-04 02:47:36","cancelled"
247943181,"2023-07-04 02:48:15","cancelled"
248401241,"2023-07-04 02:48:53","cancelled"
247008471,"2023-07-04 02:49:25","cancelled"
249391621,"2023-07-04 02:51:53","cancelled"
249524911,"2023-07-04 02:52:18","cancelled"
249527261,"2023-07-04 02:59:44","cancelled"
249513491,"2023-07-04 03:00:23","cancelled"
248928041,"2023-07-04 03:00:43","cancelled"
249527551,"2023-07-04 03:03:02","cancelled"
249527511,"2023-07-04 03:11:26","cancelled"
249525131,"2023-07-04 03:11:36","cancelled"
249528291,"2023-07-04 03:12:03","cancelled"
249527851,"2023-07-04 03:15:31","cancelled"
249528951,"2023-07-04 03:17:46","cancelled"
249528251,"2023-07-04 03:18:09","cancelled"
249404741,"2023-07-04 03:21:21","cancelled"
249492651,"2023-07-04 03:26:17","cancelled"
249527341,"2023-07-04 03:33:15","cancelled"
249530241,"2023-07-04 03:35:22","cancelled"
249530251,"2023-07-04 03:38:49","cancelled"
249527831,"2023-07-04 03:41:06","cancelled"
249530831,"2023-07-04 03:41:36","cancelled"
249530441,"2023-07-04 03:43:01","cancelled"
249516121,"2023-07-04 03:55:47","cancelled"
249530301,"2023-07-04 03:56:40","cancelled"
249531891,"2023-07-04 04:00:17","cancelled"
249435961,"2023-07-04 04:04:37","cancelled"
248305201,"2023-07-04 04:10:11","cancelled"
248350221,"2023-07-04 04:10:50","cancelled"
249532481,"2023-07-04 04:11:31","cancelled"
249532571,"2023-07-04 04:12:31","cancelled"
248318071,"2023-07-04 04:12:43","cancelled"
247490141,"2023-07-04 04:15:31","cancelled"
249532821,"2023-07-04 04:16:39","cancelled"
249421451,"2023-07-04 04:18:43","cancelled"
249532961,"2023-07-04 04:19:11","cancelled"
249531341,"2023-07-04 04:19:38","cancelled"
249532991,"2023-07-04 04:20:30","cancelled"
249377861,"2023-07-04 04:21:13","cancelled"
249533271,"2023-07-04 04:25:47","cancelled"
249533401,"2023-07-04 04:28:01","cancelled"
249381771,"2023-07-04 04:36:29","cancelled"
249533501,"2023-07-04 04:37:37","cancelled"
249532761,"2023-07-04 04:46:38","cancelled"
248889271,"2023-07-04 04:57:11","cancelled"
249390531,"2023-07-04 05:00:08","cancelled"
248345171,"2023-07-04 05:05:53","cancelled"
249533391,"2023-07-04 05:11:06","cancelled"
249525921,"2023-07-04 05:15:35","cancelled"
249535961,"2023-07-04 05:18:25","cancelled"
249535981,"2023-07-04 05:27:11","cancelled"
249532681,"2023-07-04 05:39:23","cancelled"
249366791,"2023-07-04 05:42:15","cancelled"
249536121,"2023-07-04 05:50:24","cancelled"
247831901,"2023-07-04 05:51:23","cancelled"
247892281,"2023-07-04 05:51:26","cancelled"
247897071,"2023-07-04 05:51:27","cancelled"
248114871,"2023-07-04 05:51:29","cancelled"
248117911,"2023-07-04 05:51:31","cancelled"
248120241,"2023-07-04 05:51:35","cancelled"
248129721,"2023-07-04 05:51:38","cancelled"
248130721,"2023-07-04 05:51:40","cancelled"
248141491,"2023-07-04 05:51:43","cancelled"
248141901,"2023-07-04 05:51:47","cancelled"
248145811,"2023-07-04 05:51:49","cancelled"
248151851,"2023-07-04 05:51:53","cancelled"
248152721,"2023-07-04 05:51:55","cancelled"
248153071,"2023-07-04 05:51:57","cancelled"
248161391,"2023-07-04 05:51:59","cancelled"
248164001,"2023-07-04 05:52:00","cancelled"
248164661,"2023-07-04 05:52:02","cancelled"
248165941,"2023-07-04 05:52:04","cancelled"
248172111,"2023-07-04 05:52:08","cancelled"
248173181,"2023-07-04 05:52:10","cancelled"
248176031,"2023-07-04 05:52:14","cancelled"
248179991,"2023-07-04 05:52:16","cancelled"
248188761,"2023-07-04 05:52:20","cancelled"
248189461,"2023-07-04 05:52:21","cancelled"
248200691,"2023-07-04 05:52:23","cancelled"
248200961,"2023-07-04 05:52:27","cancelled"
248212271,"2023-07-04 05:52:29","cancelled"
248217121,"2023-07-04 05:52:31","cancelled"
248220181,"2023-07-04 05:52:32","cancelled"
248222691,"2023-07-04 05:52:35","cancelled"
248224391,"2023-07-04 05:52:38","cancelled"
248224761,"2023-07-04 05:52:41","cancelled"
248225991,"2023-07-04 05:52:43","cancelled"
248226421,"2023-07-04 05:52:46","cancelled"
248226631,"2023-07-04 05:52:49","cancelled"
248227401,"2023-07-04 05:52:53","cancelled"
248228791,"2023-07-04 05:52:55","cancelled"
248230561,"2023-07-04 05:52:57","cancelled"
248232881,"2023-07-04 05:52:59","cancelled"
248238971,"2023-07-04 05:53:02","cancelled"
248241881,"2023-07-04 05:53:04","cancelled"
248140951,"2023-07-04 05:53:05","cancelled"
248247221,"2023-07-04 05:53:09","cancelled"
248253111,"2023-07-04 05:53:10","cancelled"
248253171,"2023-07-04 05:53:13","cancelled"
248254231,"2023-07-04 05:53:15","cancelled"
248261451,"2023-07-04 05:53:18","cancelled"
248271661,"2023-07-04 05:53:22","cancelled"
248274751,"2023-07-04 05:53:25","cancelled"
248289001,"2023-07-04 05:53:27","cancelled"
248293521,"2023-07-04 05:53:30","cancelled"
248294511,"2023-07-04 05:53:34","cancelled"
248306261,"2023-07-04 05:53:36","cancelled"
249537631,"2023-07-04 05:53:37","cancelled"
248307401,"2023-07-04 05:53:37","cancelled"
248308841,"2023-07-04 05:53:40","cancelled"
248321341,"2023-07-04 05:53:43","cancelled"
248324311,"2023-07-04 05:53:45","cancelled"
248326201,"2023-07-04 05:53:47","cancelled"
248327421,"2023-07-04 05:53:50","cancelled"
248331921,"2023-07-04 05:53:52","cancelled"
248334221,"2023-07-04 05:53:53","cancelled"
248342041,"2023-07-04 05:53:55","cancelled"
248343661,"2023-07-04 05:53:56","cancelled"
248345951,"2023-07-04 05:53:59","cancelled"
248349681,"2023-07-04 05:54:01","cancelled"
248366431,"2023-07-04 05:54:02","cancelled"
248368441,"2023-07-04 05:54:04","cancelled"
248371351,"2023-07-04 05:54:07","cancelled"
248376571,"2023-07-04 05:54:09","cancelled"
248377271,"2023-07-04 05:54:10","cancelled"
248384201,"2023-07-04 05:54:13","cancelled"
248384921,"2023-07-04 05:54:28","cancelled"
248281051,"2023-07-04 05:54:30","cancelled"
248386721,"2023-07-04 05:54:33","cancelled"
248390901,"2023-07-04 05:54:36","cancelled"
248402731,"2023-07-04 05:54:38","cancelled"
248424451,"2023-07-04 05:54:40","cancelled"
248310621,"2023-07-04 05:54:41","cancelled"
248441761,"2023-07-04 05:54:43","cancelled"
248443061,"2023-07-04 05:54:44","cancelled"
248460701,"2023-07-04 05:54:46","cancelled"
248462941,"2023-07-04 05:54:48","cancelled"
248464531,"2023-07-04 05:54:51","cancelled"
248472621,"2023-07-04 05:54:55","cancelled"
248473361,"2023-07-04 05:54:59","cancelled"
248480971,"2023-07-04 05:55:00","cancelled"
248481951,"2023-07-04 05:55:03","cancelled"
