Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284795721-1-000001",="284795721",,"222161F06301002",2024-03-24 02:05:47,"RESERVED",2024-03-24 02:06:54,1,,="0000175214","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Canary",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 18:00:00,,,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284633871-1-000001",="284633871",,"241214F06907803",2024-03-22 03:00:51,"RESERVED",2024-03-24 12:43:46,1,,="0000162935","",,,,"URGENT","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Fragment",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-23 17:00:00,,,="26",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796211-1-000001",="284796211","232202F12201504","232202F12201504",2024-03-24 02:10:48,"RESERVED",2024-03-24 02:11:30,1,"LS00218916",="0000175229","","PT-000379732",2024-03-24 12:14:32,="433066","LOW","3H30B723",,"3H30B723","PICK",false,,false,false,"UNUSED","","EG89 Black + Gold",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1422245,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796291-1-000001",="284796291","241221M21200404","241221M21200404",2024-03-24 02:10:49,"RESERVED",2024-03-24 02:11:30,1,"LS00053175",="0000175232","","PT-000379530",2024-03-24 09:35:16,="15879","LOW","3F13H103",,"3F13H103","PICK",false,,false,false,"UNUSED","","611B BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,1310011,="52",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796451-1-000001",="284796451","232589F12000202","232589F12000202",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:23,1,"LS00154036",="0000175238","","PT-000379719",2024-03-24 12:04:53,="232422","LOW","3H50C418",,"3H50C418","PICK",false,,false,false,"UNUSED","","590 Forest Green",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,146949,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796371-1-000001",="284796371","232307M23702702","232307M23702702",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:33,1,"LS00215392",="0000175235","","PT-000379733",2024-03-24 12:14:32,="401081","LOW","3H16A624",,"3H16A624","PICK",false,,false,false,"UNUSED","","Cremino",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,1969-12-31 19:00:36,1418113,="41",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796011-1-000001",="284796011","241168F11800205","241168F11800205",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:30,1,"LS00213054",="0000175220","","PT-000379741",2024-03-24 12:16:46,="377232","LOW","3H03C812",,"3H03C812","PICK",false,,false,false,"UNUSED","","T8013",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,1969-12-31 19:00:36,1426949,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796381-1-000001",="284796381","231799F12803704","231799F12803704",2024-03-24 02:10:56,"RESERVED",2024-03-24 02:11:23,1,"LS00215093",="0000175236","","PT-000379733",2024-03-24 12:14:32,="397175","LOW","3H13A604",,"3H13A604","PICK",false,,false,false,"UNUSED","","Black/Black/White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1418329,="6.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796171-1-000001",="284796171",,"222161F06301002",2024-03-24 02:10:57,"RESERVED",2024-03-24 02:11:29,1,,="0000175226","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Canary",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796261-1-000001",="284796261",,"241940M18801406",2024-03-24 02:15:43,"RESERVED",2024-03-24 02:16:56,1,,="0000175243","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","ONYX",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,"XXL",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796541-1-000001",="284796541","241528F12205507","241528F12205507",2024-03-24 02:20:47,"RESERVED",2024-03-24 02:21:53,1,"LS00216313",="0000175253","","PT-000379642",2024-03-24 10:42:06,="411063","LOW","3H19B511",,"3H19B511","PICK",false,,false,false,"UNUSED","","Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,1969-12-31 19:00:36,1413572,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796501-1-000001",="284796501","241232M23603000","241232M23603000",2024-03-24 02:20:47,"RESERVED",2024-03-24 12:36:46,1,"LS00217454",="0000175250","","PT-000379762",2024-03-24 12:43:18,="420317","LOW","3H23B608",,"3H23B608","PICK",false,,false,false,"UNUSED","","911 BLACK/MILK/MILK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,1417230,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
