Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284795721-1-000001",="284795721","222161F06301002","222161F06301002",2024-03-24 02:05:47,"RESERVED",2024-03-24 02:06:54,1,"LS00096433",="0000175214","","PT-000379669",2024-03-24 11:14:11,="117384","LOW","3F83A127",,"3F83A127","PICK",false,,false,false,"UNUSED","","Canary",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,1361124,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796211-1-000001",="284796211",,"232202F12201504",2024-03-24 02:10:48,"RESERVED",2024-03-24 02:11:30,1,,="0000175229","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","EG89 Black + Gold",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796291-1-000001",="284796291","241221M21200404","241221M21200404",2024-03-24 02:10:49,"RESERVED",2024-03-24 02:11:30,1,"LS00053175",="0000175232","","PT-000379530",2024-03-24 09:35:16,="15879","LOW","3F13H103",,"3F13H103","PICK",false,,false,false,"UNUSED","","611B BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,1310011,="52",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796451-1-000001",="284796451","232589F12000202","232589F12000202",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:23,1,"LS00154036",="0000175238","","PT-000379599",2024-03-24 10:15:51,="232422","LOW","3H50C418",,"3H50C418","PICK",false,,false,false,"UNUSED","","590 Forest Green",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,146949,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796371-1-000001",="284796371",,"232307M23702702",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:33,1,,="0000175235","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","Cremino",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,="41",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796151-1-000001",="284796151","232415F12506414","232415F12506414",2024-03-24 02:10:51,"RESERVED",2024-03-24 02:11:23,1,"LS00219061",="0000175225","","PT-000379578",2024-03-24 09:56:43,="434255","LOW","3H31A605",,"3H31A605","PICK",false,,false,false,"UNUSED","","White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,,1416396,="42",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796011-1-000001",="284796011",,"241168F11800205",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:30,1,,="0000175220","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","T8013",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796381-1-000001",="284796381",,"231799F12803704",2024-03-24 02:10:56,"RESERVED",2024-03-24 02:11:23,1,,="0000175236","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","Black/Black/White",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="6.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796171-1-000001",="284796171","222161F06301002","222161F06301002",2024-03-24 02:10:57,"RESERVED",2024-03-24 02:11:29,1,"LS00096433",="0000175226","","PT-000379669",2024-03-24 11:14:11,="117384","LOW","3F83A127",,"3F83A127","PICK",false,,false,false,"UNUSED","","Canary",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,1361124,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796261-1-000001",="284796261","241940M18801406","241940M18801406",2024-03-24 02:15:43,"RESERVED",2024-03-24 02:16:56,1,"LS00119053",="0000175243","","PT-000379454",2024-03-24 08:49:37,="163465","LOW","2E39B107",,"2E39B107","PICK",false,,false,false,"UNUSED","","ONYX",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,1969-12-31 19:00:36,925150,"XXL",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796441-1-000001",="284796441","232553F04805600","232553F04805600",2024-03-24 02:15:48,"RESERVED",2024-03-24 02:16:50,1,"LS00220984",="0000175246","","PT-000379504",2024-03-24 09:23:31,="452105","LOW","3H40A817",,"3H40A817","PICK",false,,false,false,"UNUSED","","640 Lilac",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,1969-12-31 19:00:36,1423499,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796541-1-000001",="284796541","241528F12205507","241528F12205507",2024-03-24 02:20:47,"RESERVED",2024-03-24 02:21:53,1,"LS00216313",="0000175253","","PT-000379642",2024-03-24 10:42:06,="411063","LOW","3H19B511",,"3H19B511","PICK",false,,false,false,"UNUSED","","Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,1969-12-31 19:00:36,1413572,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796501-1-000001",="284796501","241232M23603000","241232M23603000",2024-03-24 02:20:47,"RESERVED",2024-03-24 02:21:58,1,"LS00217454",="0000175250","","PT-000379578",2024-03-24 09:56:43,="420317","LOW","3H23B608",,"3H23B608","PICK",false,,false,false,"UNUSED","","911 BLACK/MILK/MILK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,1417230,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796841-1-000001",="284796841","241402F12824205","241402F12824205",2024-03-24 02:20:47,"RESERVED",2024-03-24 02:22:04,1,"LS00153738",="0000175269","","PT-000379632",2024-03-24 10:40:54,="229741","LOW","3H48C402",,"3H48C402","PICK",false,,false,false,"UNUSED","","White/Linen",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,,147121,="7.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796691-1-000001",="284796691","241188F04900000","241188F04900000",2024-03-24 02:20:48,"RESERVED",2024-03-24 02:21:53,1,"LS00087467",="0000175263","","PT-000379675",2024-03-24 11:26:10,="92751","LOW","3F68D125",,"3F68D125","PICK",false,,false,false,"UNUSED","","T9002 Silver",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,1350801,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796801-1-000001",="284796801","241545F05500301","241545F05500301",2024-03-24 02:20:49,"RESERVED",2024-03-24 02:21:57,1,"LS00129977",="0000175266","","PT-000379497",2024-03-24 09:21:13,="183522","LOW","2E59D111",,"2E59D111","PICK",false,,false,false,"UNUSED","","Onyx",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,940150,"XS",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796561-1-000001",="284796561","232547M19200202","232547M19200202",2024-03-24 02:20:49,"RESERVED",2024-03-24 02:21:51,1,"LS00139619",="0000175254","","PT-000379671",2024-03-24 11:15:26,="202301","LOW","2E75B203",,"2E75B203","PICK",false,,false,false,"UNUSED","","BGF",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,951334,"L",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796831-1-000001",="284796831","231140F12100302","231140F12100302",2024-03-24 02:20:51,"RESERVED",2024-03-24 02:22:11,1,"LS00172876",="0000175268","","PT-000379562",2024-03-24 09:47:44,="273581","LOW","3H05C403",,"3H05C403","PICK",false,,false,false,"UNUSED","","6208 BRED",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1411304,="35",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796511-1-000001",="284796511","241431F10503400","241431F10503400",2024-03-24 02:20:52,"RESERVED",2024-03-24 02:21:57,1,"LS00140009",="0000175251","","PT-000379671",2024-03-24 11:15:26,="202924","LOW","2E76H203",,"2E76H203","PICK",false,,false,false,"UNUSED","","Emerald",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,951270,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796591-1-000001",="284796591","241055F06901702","241055F06901702",2024-03-24 02:20:52,"RESERVED",2024-03-24 02:21:52,1,"LS00108453",="0000175257","","PT-000379646",2024-03-24 10:49:40,="145063","LOW","2E14E104",,"2E14E104","PICK",false,,false,false,"UNUSED","","Dahlia",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,99301,="25",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796671-1-000001",="284796671","241379F12801402","241379F12801402",2024-03-24 02:20:53,"RESERVED",2024-03-24 02:21:53,1,"LS00214223",="0000175261","","PT-000379641",2024-03-24 10:42:06,="388835","LOW","3H10A505",,"3H10A505","PICK",false,,false,false,"UNUSED","","00W01 Lily White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1412675,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796571-1-000001",="284796571","232553F08700802","232553F08700802",2024-03-24 02:20:53,"RESERVED",2024-03-24 02:21:50,1,"LS00095651",="0000175255","","PT-000379669",2024-03-24 11:14:11,="114917","LOW","3F81H123",,"3F81H123","PICK",false,,false,false,"UNUSED","","990 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,1360065,="36",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796681-1-000001",="284796681",,"232264F12800702",2024-03-24 02:20:55,"RESERVED",2024-03-24 02:21:49,1,,="0000175262","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","White/Speedpearl/Blu",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="36",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796761-1-000001",="284796761",,"241356F12400001",2024-03-24 02:20:57,"RESERVED",2024-03-24 02:21:58,1,,="0000175264","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","AS383 Black",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="6",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796861-1-000001",="284796861","241264F12801804","241264F12801804",2024-03-24 02:20:58,"RESERVED",2024-03-24 02:22:03,1,"LS00215397",="0000175270","","PT-000379545",2024-03-24 09:38:08,="401151","LOW","3H16A705",,"3H16A705","PICK",false,,false,false,"UNUSED","","10224 White/Silver",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1420881,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284731011-1-000001",="284731011",,"231296F11801211",2024-03-23 04:14:47,"RESERVED",2024-03-23 08:11:27,1,,="0000169552","",,,,"MEDIUM","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","1429 Citron",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-24 17:00:00,,,="40.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796661-1-000001",="284796661","241111M18601602","241111M18601602",2024-03-24 02:25:42,"RESERVED",2024-03-24 02:26:31,1,"LS00120597",="0000175277","","PT-000379454",2024-03-24 08:49:37,="165997","LOW","2E44F223",,"2E44F223","PICK",false,,false,false,"UNUSED","","01 Blue",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,929259,="30",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796741-1-000001",="284796741","232099M18602706","232099M18602706",2024-03-24 02:25:42,"RESERVED",2024-03-24 02:26:27,1,"LS00049138",="0000175279","","PT-000379268",2024-03-23 17:11:56,="7477","LOW","3F07B207",,"3F07B207","PICK",false,,false,false,"UNUSED","","BRIMSTONE ADV",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,134723,="34",false,true,false,"UNUSED",1,"NO","NO","NO"
